Designator,Mid X,Mid Y,Rotation,Layer
C1,93.5,-116.661341,225,top
C10,57.797965,-87.507475,135,top
C11,60.312436,-84.993004,135,top
C12,51.103459,-94.586216,180,top
C13,78.879801,-63.803747,45,top
C14,71.395891,-73.853378,135,top
C15,66.903944,-78.401496,135,top
C16,64.155986,-81.149454,135,top
C17,61.964803,-83.340636,135,top
C18,56.720334,-88.585106,135,top
C19,59.03724,-86.2682,135,top
C2,97.767393,-68.284073,45,top
C20,148.557024,-34.105218,180,top
C21,146.548145,-36.350282,180,top
C22,135.80506,-34.644033,180,top
C23,131.820525,-34.554231,0,top
C24,124.007702,-35.003244,180,top
C25,120.685007,-34.015415,0,top
C26,96.528118,-67.15256,45,top
C27,113.879444,-84.085369,45,top
C28,95.804074,-115.54779,315,top
C29,72.314649,-34.733836,180,top
C3,115.015496,-85.170464,45,top
C30,69.228139,-35.901269,90,top
C31,56.296571,-35.542059,90,top
C32,46.238684,-35.542059,90,top
C33,43.903817,-35.362454,90,top
C34,67.859418,-112.63729,225,top
C35,108.177387,-103.17106,315,top
C36,105.632786,-105.510788,315,top
C37,109.793833,-101.554614,315,top
C38,101.515517,-109.836347,315,top
C39,99.126768,-112.225095,315,top
C4,51.097711,-93.114954,180,top
C40,97.977296,-113.374568,315,top
C41,102.233028,-72.027925,45,top
C42,68.937049,-113.714921,225,top
C43,107.099756,-104.248691,315,top
C44,104.555155,-106.588419,315,top
C45,110.871464,-100.476983,315,top
C46,102.593147,-108.758716,315,top
C47,100.186439,-111.165425,315,top
C48,96.881704,-114.470159,315,top
C49,108.912247,-79.149567,45,top
C5,80.22684,-65.150786,45,top
C50,103.328619,-73.123516,45,top
C51,110.097358,-80.334678,45,top
C52,98.668928,-126.587405,225,top
C53,99.746559,-127.665036,225,top
C54,98.309718,-130.538717,45,top
C55,100.82419,-128.742666,225,top
C56,98.219916,-132.783782,225,top
C59,118.829969,-106.994082,225,top
C6,72.473521,-72.775748,135,top
C60,119.9076,-108.071713,225,top
C61,118.470759,-110.945395,45,top
C62,120.98523,-109.149343,225,top
C63,118.380956,-113.190459,225,top
C66,74.868023,-129.027232,225,top
C67,75.945654,-130.104863,225,top
C68,74.508813,-132.978545,45,top
C69,77.023285,-131.182494,225,top
C7,68.035457,-77.269983,135,top
C70,74.41901,-135.223609,225,top
C73,66.422577,-111.200449,225,top
C74,65.344947,-110.122819,225,top
C75,99.161599,-168.745399,180,top
C76,48.290709,-105.568924,180,top
C77,48.290709,-104.044924,180,top
C78,44.467709,-105.568924,0,top
C79,48.290709,-102.520925,180,top
C8,65.34138,-79.96406,135,top
C80,42.943709,-107.092925,180,top
C81,99.161599,-170.2694,180,top
C82,96.1136,-171.285399,0,top
C83,99.1616,-171.793399,180,top
C84,94.4626,-172.8094,180,top
C9,63.060395,-82.245045,135,top
D1,103.597569,-60.644295,45,top
IC1,102.799846,-131.795953,225,top
IC2,122.960887,-112.20263,225,top
IC3,78.998941,-134.235781,225,top
IC4,98.3996,-175.349399,180,top
IC5,47.007709,-109.124925,180,top
J1,41.035135,-63.375853,270,top
J14,165.269654,-49.415488,180,top
J15,165.269654,-65.940487,180,top
J16,165.269654,-82.450488,180,top
J17,165.269654,-92.595488,180,top
J18,99.65675748289294,-122.0074735,315,top
J19,119.81779748289294,-102.4141505,315,top
J2,71.473203,-43.35488122,315,top
J20,75.85585148289294,-124.4473005,315,top
J22,51.579709,-99.980925,270,top
J23,94.358405,-129.0948052,315,top
J24,114.309025,-109.7189742,315,top
J25,70.5575,-131.5346332,315,top
J28,43.456709,-101.753924,270,top
J3,42.967569,-89.484295,90,top
J4,55.542439,-106.379542,0,top
J44,94.3406,-167.470399,270,top
J45,103.0986,-166.205399,270,top
J5,56.860914,-73.605581,90,top
J6,44.096186,-79.404001,0,top
J7,101.970082,-116.274632,315,top
J8,90.13159838789308,-123.1367508,315,top
J9,46.243684,-66.06993,270,top
R1,33.377569,-71.754295,180,top
R2,32.787569,-47.664295,180,top
R4,105.619814,-58.330131,225,top
R5,130,-85,135,top
R6,121.13402,-79.904524,135,top
R7,74.545583,-67.283701,315,top
R8,73.045583,-68.783701,315,top
R9,60,-78.5,0,top
RF1,107.289974,-131.257138,135,top
RF10,42.943709,-108.616925,0,top
RF2,99.028139,-135.208451,315,top
